DSTC10TOPICAL-000000	Hmm I am not sure of that. He went to college for it?	Nope he just attended drama class in high school because that is where the pretty girls went	Hahaha the guy really knew what he was after even that early	Yes, he did. He was a good sport about it, but I felt bad for him.
DSTC10TOPICAL-001320	Yes I do. I watched college and NFL football games.	Who is your favorite NFL team?	49ers since I used to live in the Bay area. I lived there for 30 years.	I have been to the Eagles and the Eagles and the Eagles and the Eagles and the Eagles had a temporary court in their stadium when they were in the stadium.
DSTC10TOPICAL-001321	I guess not everyone makes it big. I hope a lady makes it big someday. It can be difficult with gender roles especially when on the NFL Saints team cheerleaders must leave a restaurant if another NFL player walks into	That's ridiculous! I see a lot of sports posts on facebook. I can't believe the site is 15 years old already!	If Myspace had been smart they would have bought facebook for $75 million that they were offered in 2005!	I bet they regret that decision! I wonder if they had a chance to buy Facebook for $75 million in 2005?
DSTC10TOPICAL-001322	Did you know that Disney owns ABC as well as ESPN?	I did. Do you watch football?	Yes I do, I am a contributor to the number one ranking for viewership of Sunday Night Football. Do you?	I do watch the NFL but I do not watch the NFL though.
DSTC10TOPICAL-001323	17 weeks if im not mistaken. then the playoffs	Yes you are right. Do you know the highest score ever in a football game?	Wow not sure i would imagine it's pretty high. Was it a college or professional game?	It was Georgia Tech beat Cumberland 222-0
DSTC10TOPICAL-001324	Hello, do you watch the NFL?	Hi! I do! I'm shocked that out of the whole 3 hours of game on tv only 11 minutes is actually live gameplay!	Yeah that is pretty crazy. DO you have a favorite player or team?	I like the NFL but I don't really follow the NFL but I do like the NFL though.
DSTC10TOPICAL-001325	I guess not. I do find it interesting that malus in latin means both apple and evil. That would makes things a little confusing in the bible.	Yeah I think so too. Did you know that people think that the Tower of Babel might actually still exist?	Yea, I guess it is the etemenanki in modern day Iraq.	Yeah I wonder if it is a religious version of the bible
DSTC10TOPICAL-001326	My son is not into sport, were he I'd have serious reservations about him playing football for that reason. I know there the fame that can go with it but an engineer is going to make more money than most	Yeah, and they have better working conditions, less injuries, it is a quite violent sport.	I understand that there are no rules against women playing in the NFL, difficult to see it happening.	I think that is a good idea, I think they should be able to play the game if they are playing.
DSTC10TOPICAL-001327	Yeah that is pretty short, crazy. Do you know what the highest score in a game was?	no I am not sure. I read that the average lifetime earnings of an engineer is more than nfl player	Yeah I guess that makes sense since engineers work longer. The game score was 222-0	Yeah that is a lot of money. Did you know engineers make more than football players?
DSTC10TOPICAL-001328	Hi. Do you like sports?	Hi, I do like football as in NFL football, although I am a fan of association football as well.	Me too. I like the NFL but I do also watch other leagues of football as well on occasion. Did you hear that Winston Churchill High is doing very well?	I did not know that. I wonder how he won the Nobel prize?
DSTC10TOPICAL-001329	Hi, do you like literature?	Somewhat. I know that the FDA burned 6 tons of it in an act of censorship.	That's pretty crazy. I saw there is an annual literature contest that challenges writers to come up with the worst possible opening sentence to a novel.	That is pretty cool. Romantic kissing is a fairly recent development.
DSTC10TOPICAL-001330	I have read parts of it. I dont read it very often and I have never read it word for word.	I think that it is a very popular book. Many people have read it and tried to understand its secrets.	I dont know. I dont always take it really literally. I mainly use it as a good set of rules to live by to be a good person.	I agree. I think it is a good way to read the Bible and read the Bible and not the <unk>
DSTC10TOPICAL-001331	Marcia Lucas did a great job making changes to George's original scripts and made the movies better	Yes you are right, I wasn't familiar with Marcia Lucas as I was with George Lucas.	I wonder how much money she made since George got to keep the licensing and merchandising rights of Star Wars	I think it was a good idea to be dubbed into Navajo and then it was a major flop.
DSTC10TOPICAL-001332	it doesn't list his average, it just says he hasn't been in a single movie with a fresh rating	oh man, thats sad for him. I like his movies usually	i don't recall too many of his movies, i've seen a couple and they are alright. i did like him in that 70s show!	I have seen it but I dont think it was good but I guess it was a good show
DSTC10TOPICAL-001333	He's the guy that fumbled every ball he ever touched.	Yeah what a career for him. Did you know NFL is sing tracking chips on the players now?	The NFL is singing tracking chips? I did not know that.	Yeah they are also the only one to have a team in the NFL
DSTC10TOPICAL-001334	Yeah the really sexist rule? it sounds really unfair, that rule should be banned and the cheerleaders should sue the team for that	I think so too. The worst part in my opinion is the fact that they have to leave mid meal if players walk in	Thats a terrible rule, I hope they change it in the near future, its humiliating actually,	Yeah it is true. Do you know what the hamburger button is?
DSTC10TOPICAL-001335	Yeah, same here. Roosevelt and Quincy did not believe in it much either so they did not use it when they swore in	I don't think it should ever be used. How about you?	Yeah I agree, religion is a preference. Going back to football, did you know there are only 1 minutes of active game play in it?	I did not know that. I wonder how much it is worth in the <unk>
